City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,xichang,27.8964,102.2634,24.79,65,28,1.2,CN,1724638948
282,rudnya,54.947,31.0934,16.13,71,6,2.7,RU,1724638949
283,beni saf,35.301,-1.3823,24.6,92,59,1.92,DZ,1724638950
284,lionel town,17.8101,-77.2406,26.11,85,15,1.81,JM,1724638951
285,mount gambier,-37.8333,140.7667,15.39,66,85,5.22,AU,1724638952
286,necochea,-38.5473,-58.7368,4.52,87,0,3.52,AR,1724638953
287,nuku'alofa,-21.1333,-175.2,22.19,100,100,4.63,TO,1724638956
288,debre tabor,11.85,38.0167,11.07,97,91,0.68,ET,1724638957
289,victorica,-36.2151,-65.4359,9.3,39,100,8.58,AR,1724638958
290,chonchi,-42.6128,-73.8092,7.29,96,100,1.99,CL,1724638959
291,vilcun,-38.65,-72.2333,6.81,92,100,2.31,CL,1724638960
292,porto novo,6.4965,2.6036,24.9,89,100,2.91,BJ,1724638961
293,pennagaram,12.1333,77.9,23.5,76,99,1.71,IN,1724638962
294,kabansk,52.0486,106.6528,23.49,52,100,1.99,RU,1724638965
295,new plymouth,-39.0667,174.0833,15.45,100,100,5.6,NZ,1724638966
296,marsa alam,25.0757,34.8918,30.27,64,10,1.88,EG,1724638967
297,bandirma,40.3522,27.9767,24.01,88,20,7.2,TR,1724638968
298,tajerouine,35.8917,8.5528,24.88,44,26,1.49,TN,1724638969
299,palmer,42.1584,-72.3287,20.84,72,75,0.0,US,1724638971
300,gaigeturi,33.4644,126.3183,30.03,79,14,3.09,KR,1724638973
301,dolbeau-mistassini,48.8763,-72.212,16.26,88,58,1.03,CA,1724638974
302,maputo,-25.9653,32.5892,15.82,94,20,1.03,MZ,1724638975
303,dhanaula,30.2833,75.5833,28.1,77,8,4.09,IN,1724638976
304,colonia,50.9333,6.95,12.85,83,0,1.74,DE,1724638884
305,arraial do cabo,-22.9661,-42.0278,18.44,88,100,10.83,BR,1724638978
